West Humber-Clairville,1,37133,85,92,91,75
Mount Olive-Silverstone-Jamestown,2,35772,75,110,62,28
Thistletown-Beaumond Heights,3,10948,19,15,11,9
Rexdale-Kipling,4,11095,13,16,22,13
Elms-Old Rexdale,5,10045,14,20,13,7
Kingsview Village-The Westway,6,23318,19,27,18,7
Willowridge-Martingrove-Richview,7,24158,25,56,17,13
Humber Heights-Westmount,8,12325,12,11,5,2
Edenbridge-Humber Valley,9,17619,6,4,5,8
Princess-Rosethorn,10,12291,17,34,4,9
Eringate-Centennial-West Deane,11,19924,18,14,11,19
Markland Wood,12,11146,9,10,4,16
Etobicoke West Mall,13,13072,10,4,4,10
Islington-City Centre West,14,51481,39,40,35,35
Kingsway South,15,10327,14,13,16,4
Stonegate-Queensway,16,27410,17,13,26,20
Mimico (includes Humber Bay Shores),17,38739,10,11,29,11
New Toronto,18,12539,19,20,20,11
Long Branch,19,11564,14,7,10,16
Alderwood,20,13242,8,10,8,12
Humber Summit,21,13458,25,24,34,25
Humbermede,22,16794,25,23,27,14
Pelmo Park-Humberlea,23,12278,13,12,19,7
Black Creek,24,23206,50,43,31,25
Glenfield-Jane Heights,25,33031,42,66,48,49
Downsview-Roding-CFB,26,38981,69,48,71,55
York University Heights,27,30277,58,70,94,47
Rustic,28,10756,15,9,8,8
Maple Leaf,29,10947,9,8,6,2
Brookhaven-Amesbury,30,18892,30,29,20,16
Yorkdale-Glen Park,31,17560,23,24,47,40
Englemount-Lawrence,32,25089,31,39,10,24
Clanton Park,33,18742,7,4,11,16
Bathurst Manor,34,17628,9,11,10,8
Westminster-Branson,35,28248,14,12,16,17
Newtonbrook West,36,26115,27,16,28,23
Willowdale West,37,19571,12,10,30,25
Lansing-Westgate,38,18146,12,6,32,11
Bedford Park-Nortown,39,26015,12,16,13,17
St.Andrew-Windfields,40,20070,10,24,6,8
Bridle Path-Sunnybrook-York Mills,41,10942,1,2,0,8
Banbury-Don Mills,42,31186,12,18,7,7
Victoria Village,43,19005,8,12,13,11
Flemingdon Park,44,23505,26,24,16,5
Parkwoods-Donalda,45,38257,14,34,23,9
Pleasant View,46,16856,9,15,10,10
Don Valley Village,47,29406,48,25,35,23
Hillcrest Village,48,18349,20,16,18,14
Bayview Woods-Steeles,49,14020,6,0,8,1
Newtonbrook East,50,17742,7,10,6,15
Willowdale East,51,57856,24,41,67,39
Bayview Village,52,24799,3,11,5,18
Henry Farm,53,22545,2,4,9,6
O'Connor-Parkview,54,20156,30,28,10,19
Thorncliffe Park,55,23518,16,15,4,5
Leaside-Bennington,56,18627,6,9,8,7
Broadview North,57,12372,11,11,7,3
Old East York,58,9817,17,10,7,5
Danforth East York,59,18427,2,4,10,9
Woodbine-Lumsden,60,8309,5,3,6,6
Taylor-Massey,61,16651,24,17,17,26
East End-Danforth,62,23112,34,40,32,27
The Beaches,63,23364,18,19,13,6
Woodbine Corridor,64,13484,10,6,24,7
Greenwood-Coxwell,65,15470,15,12,19,21
Danforth,66,10353,19,26,38,19
Playter Estates-Danforth,67,8257,17,11,7,8
North Riverdale,68,12585,20,34,19,14
Blake-Jones,69,8287,10,10,14,4
South Riverdale,70,30225,55,45,34,35
Cabbagetown-South St.James Town,71,12655,12,25,34,16
Regent Park,72,13131,22,19,33,17
Moss Park,73,23905,121,119,158,130
North St.James Town,74,20595,35,23,28,39
Church-Yonge Corridor,75,39279,126,140,189,138
Bay Street Corridor,76,32790,85,101,127,82
Waterfront Communities-The Island,77,87808,72,72,116,83
Kensington-Chinatown,78,21196,75,62,75,38
University,79,8433,53,38,23,13
Palmerston-Little Italy,80,14992,29,24,20,6
Trinity-Bellwoods,81,18270,23,18,14,20
Niagara,82,37931,28,9,12,21
Dufferin Grove,83,12858,30,19,18,19
Little Portugal,84,17741,9,9,12,9
South Parkdale,85,24212,20,34,33,16
Roncesvalles,86,16073,28,36,25,24
High Park-Swansea,87,26494,17,14,12,10
High Park North,88,24557,21,30,26,18
Runnymede-Bloor West Village,89,10792,14,16,20,7
Junction Area,90,15623,15,13,25,13
Weston-Pellam Park,91,12074,11,15,27,3
Corso Italia-Davenport,92,15139,18,30,20,12
Dovercourt-Wallace Emerson-Junction,93,40355,55,42,58,39
Wychwood,94,16037,15,9,20,19
Annex,95,34680,48,47,49,44
Casa Loma,96,12334,8,1,6,3
Yonge-St.Clair,97,14083,4,6,1,5
Rosedale-Moore Park,98,23693,14,20,27,22
Mount Pleasant East,99,17972,2,3,8,16
Yonge-Eglinton,100,13183,15,14,30,10
Forest Hill South,101,12450,1,2,8,5
Forest Hill North,102,13588,8,9,16,16
Lawrence Park South,103,16585,3,2,5,12
Mount Pleasant West,104,36333,16,14,25,18
Lawrence Park North,105,15751,0,4,2,12
Humewood-Cedarvale,106,15854,8,6,4,6
Oakwood Village,107,22588,34,31,18,23
Briar Hill-Belgravia,108,15448,24,27,25,10
Caledonia-Fairbank,109,10729,11,13,9,8
Keelesdale-Eglinton West,110,12050,32,23,19,11
Rockcliffe-Smythe,111,23751,39,61,19,13
Beechborough-Greenbrook,112,7130,19,18,14,4
Weston,113,20037,35,43,42,27
Lambton Baby Point,114,8433,1,5,1,1
Mount Dennis,115,14703,26,34,10,19
Steeles,116,26911,8,16,9,6
L'Amoreaux,117,48519,50,38,39,28
Tam O'Shanter-Sullivan,118,29970,27,24,17,18
Wexford/Maryvale,119,29864,49,25,35,29
Clairlea-Birchmount,120,29302,46,43,27,30
Oakridge,121,15735,48,30,37,28
Birchcliffe-Cliffside,122,24182,16,22,21,20
Cliffcrest,123,17715,27,25,15,23
Kennedy Park,124,18407,71,27,32,25
Ionview,125,14407,23,9,8,2
Dorset Park,126,27051,35,58,37,24
Bendale,127,32770,66,63,48,22
Agincourt South-Malvern West,128,27406,25,21,33,18
Agincourt North,129,31618,34,13,43,17
Milliken,130,29166,42,42,20,34
Rouge,131,50790,26,34,34,40
Malvern,132,47548,40,64,51,24
Centennial Scarborough,133,14672,9,11,6,3
Highland Creek,134,13943,18,11,5,2
Morningside,135,18859,16,10,14,7
West Hill,136,29669,63,77,52,36
Woburn,137,58109,85,73,76,55
Eglinton East,138,24885,68,45,36,23
Scarborough Village,139,18116,30,25,11,17
Guildwood,140,10679,16,8,5,3
